Text,Size,Color,Angle,Font,Repeat,URL
N****,120,Random,Random,Random,No,
Head,113,Random,Random,Random,No,
Up,100,Random,Random,Random,No,
Know,96,Random,Random,Random,No,
F***,89,Random,Random,Random,No,
Wanna,86,Random,Random,Random,No,
Down,85,Random,Random,Random,No,
Keep,83,Random,Random,Random,No,
Feel,75,Random,Random,Random,No,
Out,73,Random,Random,Random,No,
S***,71,Random,Random,Random,No,
Callin',71,Random,Random,Random,No,
Need,69,Random,Random,Random,No,
Boy,66,Random,Random,Random,No,
See,63,Random,Random,Random,No,
Want,63,Random,Random,Random,No,
La-Di-Da,59,Random,Random,Random,No,
Think,57,Random,Random,Random,No,
'em,53,Random,Random,Random,No,
Love,51,Random,Random,Random,No,
One,49,Random,Random,Random,No,
Better,48,Random,Random,Random,No,
Tell,48,Random,Random,Random,No,
Now,47,Random,Random,Random,No,
Chain,45,Random,Random,Random,No,
Run,45,Random,Random,Random,No,
Go,44,Random,Random,Random,No,
Friend,43,Random,Random,Random,No,
Money,42,Random,Random,Random,No,
Trip,42,Random,Random,Random,No,
'cause,41,Random,Random,Random,No,
Make,41,Random,Random,Random,No,
Gold,41,Random,Random,Random,No,
Lot,41,Random,Random,Random,No,
New,40,Random,Random,Random,No,
Bitch,39,Random,Random,Random,No,
Life,39,Random,Random,Random,No,
Band,39,Random,Random,Random,No,
Call,38,Random,Random,Random,No,
Yeah,37,Random,Random,Random,No,
Ya,34,Random,Random,Random,No,
Tryna,34,Random,Random,Random,No,
Bag,34,Random,Random,Random,No,
Man,33,Random,Random,Random,No,
Take,33,Random,Random,Random,No,
Big,33,Random,Random,Random,No,
Put,31,Random,Random,Random,No,
Enough,31,Random,Random,Random,No,
Oh,31,Random,Random,Random,No,
Baby,31,Random,Random,Random,No,
Come,31,Random,Random,Random,No,
Day,30,Random,Random,Random,No,
Thing,29,Random,Random,Random,No,
Huh,29,Random,Random,Random,No,
Time,29,Random,Random,Random,No,
Never,28,Random,Random,Random,No,
Back,28,Random,Random,Random,No,
Talkin',27,Random,Random,Random,No,
Ride,27,Random,Random,Random,No,
Gonna,27,Random,Random,Random,No,
Way,26,Random,Random,Random,No,
Gotta,26,Random,Random,Random,No,
Turn,26,Random,Random,Random,No,
Ooh,26,Random,Random,Random,No,
Uh,26,Random,Random,Random,No,
Dollar,26,Random,Random,Random,No,
Hold,26,Random,Random,Random,No,
La,26,Random,Random,Random,No,
Send,25,Random,Random,Random,No,
Neck,25,Random,Random,Random,No,
Right,25,Random,Random,Random,No,
Slow,25,Random,Random,Random,No,
Around,25,Random,Random,Random,No,
Nobody,25,Random,Random,Random,No,
Bump,25,Random,Random,Random,No,
Fly,24,Random,Random,Random,No,
Used,24,Random,Random,Random,No,
Outside,24,Random,Random,Random,No,
Yi,24,Random,Random,Random,No,
Play,23,Random,Random,Random,No,
Hate,23,Random,Random,Random,No,
Y'all,23,Random,Random,Random,No,
Move,23,Random,Random,Random,No,
Still,23,Random,Random,Random,No,
Being,23,Random,Random,Random,No,
Here,23,Random,Random,Random,No,
Talk,22,Random,Random,Random,No,
Treat,22,Random,Random,Random,No,
World,21,Random,Random,Random,No,
Grow,21,Random,Random,Random,No,
Watch,20,Random,Random,Random,No,
Ass,20,Random,Random,Random,No,
Jet,20,Random,Random,Random,No,
Trust,20,Random,Random,Random,No,
Wait,20,Random,Random,Random,No,
Again,20,Random,Random,Random,No,
Add,20,Random,Random,Random,No,
Give,19,Random,Random,Random,No,
Respect,19,Random,Random,Random,No,
Whole,19,Random,Random,Random,No,
Bring,19,Random,Random,Random,No,
Look,19,Random,Random,Random,No,
Real,19,Random,Random,Random,No,
Hit,18,Random,Random,Random,No,
Sin,18,Random,Random,Random,No,
Reason,18,Random,Random,Random,No,
Woo,18,Random,Random,Random,No,
Black,17,Random,Random,Random,No,
Break,17,Random,Random,Random,No,
Pull,17,Random,Random,Random,No,
Merlyn,17,Random,Random,Random,No,
Find,17,Random,Random,Random,No,
Game,17,Random,Random,Random,No,
Ay,17,Random,Random,Random,No,
Fall,16,Random,Random,Random,No,
Hand,16,Random,Random,Random,No,
White,16,Random,Random,Random,No,
Minute,16,Random,Random,Random,No,
Simple,16,Random,Random,Random,No,
Stay,16,Random,Random,Random,No,
Em',16,Random,Random,Random,No,
Wha,16,Random,Random,Random,No,
Try,15,Random,Random,Random,No,
'bout,15,Random,Random,Random,No,
High,15,Random,Random,Random,No,
Live,15,Random,Random,Random,No,
People,15,Random,Random,Random,No,
Brand,15,Random,Random,Random,No,
More,14,Random,Random,Random,No,
Light,14,Random,Random,Random,No,
I'ma,14,Random,Random,Random,No,
Made,14,Random,Random,Random,No,
Name,14,Random,Random,Random,No,
Miss,14,Random,Random,Random,No,
Though,14,Random,Random,Random,No,
Through,14,Random,Random,Random,No,
Sign,14,Random,Random,Random,No,
Done,13,Random,Random,Random,No,
Mi,13,Random,Random,Random,No,
Start,13,Random,Random,Random,No,
Myself,13,Random,Random,Random,No,
Left,13,Random,Random,Random,No,
Ice,13,Random,Random,Random,No,
Damn,13,Random,Random,Random,No,
Thought,13,Random,Random,Random,No,
Gon',13,Random,Random,Random,No,
Phone,13,Random,Random,Random,No,
Eye,13,Random,Random,Random,No,
Cash,13,Random,Random,Random,No,
Yah,13,Random,Random,Random,No,
Roof,13,Random,Random,Random,No,
Hear,12,Random,Random,Random,No,
Cop,12,Random,Random,Random,No,
Shot,12,Random,Random,Random,No,
Change,12,Random,Random,Random,No,
End,12,Random,Random,Random,No,
Everything,12,Random,Random,Random,No,
Care,12,Random,Random,Random,No,
Drop,12,Random,Random,Random,No,
Face,12,Random,Random,Random,No,
House,12,Random,Random,Random,No,
Gun,12,Random,Random,Random,No,
Someone,12,Random,Random,Random,No,
Heart,12,Random,Random,Random,No,
Mean,12,Random,Random,Random,No,
Walla,12,Random,Random,Random,No,
Shh,12,Random,Random,Random,No,
Place,12,Random,Random,Random,No,
Twistin',12,Random,Random,Random,No,
Feelin',12,Random,Random,Random,No,
Wild,12,Random,Random,Random,No,
Que,12,Random,Random,Random,No,
Ridin',12,Random,Random,Random,No,
Attached,12,Random,Random,Random,No,
Dream,11,Random,Random,Random,No,
Suck,11,Random,Random,Random,No,
Work,11,Random,Random,Random,No,
Set,11,Random,Random,Random,No,
Whip,11,Random,Random,Random,No,
Hundred,11,Random,Random,Random,No,
Beat,11,Random,Random,Random,No,
Listen,11,Random,Random,Random,No,
Show,11,Random,Random,Random,No,
Last,11,Random,Random,Random,No,
Cry,11,Random,Random,Random,No,
Drug,11,Random,Random,Random,No,
Brain,11,Random,Random,Random,No,
Bloodsucka,11,Random,Random,Random,No,
Kick,10,Random,Random,Random,No,
Home,10,Random,Random,Random,No,
Street,10,Random,Random,Random,No,
Thang,10,Random,Random,Random,No,
Speak,10,Random,Random,Random,No,
Bad,10,Random,Random,Random,No,
Same,10,Random,Random,Random,No,
Dog,10,Random,Random,Random,No,
Momma,10,Random,Random,Random,No,
Follow,10,Random,Random,Random,No,
Hair,10,Random,Random,Random,No,
Bum,10,Random,Random,Random,No,
Wish,10,Random,Random,Random,No,
Best,10,Random,Random,Random,No,
'til,10,Random,Random,Random,No,
Probably,10,Random,Random,Random,No,
Always,10,Random,Random,Random,No,
Crack,9,Random,Random,Random,No,
Ll,9,Random,Random,Random,No,
Little,9,Random,Random,Random,No,
Good,9,Random,Random,Random,No,
School,9,Random,Random,Random,No,
Fixed,9,Random,Random,Random,No,
Took,9,Random,Random,Random,No,
Ghetto,9,Random,Random,Random,No,
Grew,9,Random,Random,Random,No,
Step,9,Random,Random,Random,No,
Act,9,Random,Random,Random,No,
Fried,9,Random,Random,Random,No,
Few,9,Random,Random,Random,No,
Handle,9,Random,Random,Random,No,
En,9,Random,Random,Random,No,
Cell,9,Random,Random,Random,No,
Leave,8,Random,Random,Random,No,
First,8,Random,Random,Random,No,
Fuckin',8,Random,Random,Random,No,
Old,8,Random,Random,Random,No,
Long,8,Random,Random,Random,No,
Inside,8,Random,Random,Random,No,
El,8,Random,Random,Random,No,
Catch,8,Random,Random,Random,No,
Late,8,Random,Random,Random,No,
Mind,8,Random,Random,Random,No,
Smoke,8,Random,Random,Random,No,
Over,8,Random,Random,Random,No,
Trouble,8,Random,Random,Random,No,
Ah,8,Random,Random,Random,No,
Truck,8,Random,Random,Random,No,
Sleep,8,Random,Random,Random,No,
Everybody,8,Random,Random,Random,No,
Wonder,8,Random,Random,Random,No,
Star,8,Random,Random,Random,No,
Sun,8,Random,Random,Random,No,
Mm,8,Random,Random,Random,No,
Car,8,Random,Random,Random,No,
Rap,8,Random,Random,Random,No,
Prolly,8,Random,Random,Random,No,
Check,8,Random,Random,Random,No,
Shook,8,Random,Random,Random,No,
Saturday,8,Random,Random,Random,No,
Lock,8,Random,Random,Random,No,
Sand,8,Random,Random,Random,No,
Gunner,8,Random,Random,Random,No,
Licorice,8,Random,Random,Random,No,
Wrist,8,Random,Random,Random,No,
Willy,8,Random,Random,Random,No,
Flash,8,Random,Random,Random,No,
Nasty,8,Random,Random,Random,No,
Floating,8,Random,Random,Random,No,
Aladdin,8,Random,Random,Random,No,
Aqua,8,Random,Random,Random,No,
Rock,7,Random,Random,Random,No,
Door,7,Random,Random,Random,No,
Another,7,Random,Random,Random,No,
Hope,7,Random,Random,Random,No,
Bet,7,Random,Random,Random,No,
Fight,7,Random,Random,Random,No,
Wrong,7,Random,Random,Random,No,
Guess,7,Random,Random,Random,No,
Side,7,Random,Random,Random,No,
Slip,7,Random,Random,Random,No,
Wee,7,Random,Random,Random,No,
Stand,7,Random,Random,Random,No,
Choose,7,Random,Random,Random,No,
Kill,7,Random,Random,Random,No,
Pack,7,Random,Random,Random,No,
Before,7,Random,Random,Random,No,
Sit,7,Random,Random,Random,No,
Sell,7,Random,Random,Random,No,
Straight,7,Random,Random,Random,No,
Pass,7,Random,Random,Random,No,
Figure,7,Random,Random,Random,No,
Eat,7,Random,Random,Random,No,
Trunk,7,Random,Random,Random,No,
Couple,7,Random,Random,Random,No,
Crazy,7,Random,Random,Random,No,
Walk,7,Random,Random,Random,No,
Well,7,Random,Random,Random,No,
Broke,7,Random,Random,Random,No,
Sometimes,7,Random,Random,Random,No,
Apart,7,Random,Random,Random,No,
Found,7,Random,Random,Random,No,
Yourself,7,Random,Random,Random,No,
Past,7,Random,Random,Random,No,
Alone,7,Random,Random,Random,No,
Seen,7,Random,Random,Random,No,
Stuck,7,Random,Random,Random,No,
Fraud,7,Random,Random,Random,No,
Volume,7,Random,Random,Random,No,
Power,7,Random,Random,Random,No,
Maybe,7,Random,Random,Random,No,
Even,7,Random,Random,Random,No,
Trippin',7,Random,Random,Random,No,
Throw,7,Random,Random,Random,No,
Para,7,Random,Random,Random,No,
Scream,6,Random,Random,Random,No,
Blow,6,Random,Random,Random,No,
