Category: All categories

Week,brockhampton: (United States)
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,<1
2015-03-08,<1
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,<1
2015-05-03,<1
2015-05-10,<1
2015-05-17,0
2015-05-24,<1
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,<1
2015-06-28,0
2015-07-05,<1
2015-07-12,<1
2015-07-19,<1
2015-07-26,0
2015-08-02,0
2015-08-09,<1
2015-08-16,0
2015-08-23,1
2015-08-30,<1
2015-09-06,<1
2015-09-13,<1
2015-09-20,<1
2015-09-27,0
2015-10-04,<1
2015-10-11,<1
2015-10-18,0
2015-10-25,<1
2015-11-01,<1
2015-11-08,<1
2015-11-15,0
2015-11-22,<1
2015-11-29,<1
2015-12-06,0
2015-12-13,<1
2015-12-20,<1
2015-12-27,0
2016-01-03,0
2016-01-10,<1
2016-01-17,<1
2016-01-24,<1
2016-01-31,<1
2016-02-07,<1
2016-02-14,0
2016-02-21,0
2016-02-28,<1
2016-03-06,<1
2016-03-13,0
2016-03-20,0
2016-03-27,1
2016-04-03,<1
2016-04-10,<1
2016-04-17,<1
2016-04-24,<1
2016-05-01,<1
2016-05-08,<1
2016-05-15,0
2016-05-22,<1
2016-05-29,<1
2016-06-05,<1
2016-06-12,<1
2016-06-19,<1
2016-06-26,<1
2016-07-03,<1
2016-07-10,<1
2016-07-17,<1
2016-07-24,<1
2016-07-31,<1
2016-08-07,1
2016-08-14,<1
2016-08-21,<1
2016-08-28,0
2016-09-04,<1
2016-09-11,0
2016-09-18,<1
2016-09-25,<1
2016-10-02,<1
2016-10-09,<1
2016-10-16,<1
2016-10-23,<1
2016-10-30,0
2016-11-06,0
2016-11-13,<1
2016-11-20,<1
2016-11-27,<1
2016-12-04,<1
2016-12-11,0
2016-12-18,<1
2016-12-25,<1
2017-01-01,<1
2017-01-08,0
2017-01-15,<1
2017-01-22,<1
2017-01-29,<1
2017-02-05,<1
2017-02-12,<1
2017-02-19,<1
2017-02-26,<1
2017-03-05,<1
2017-03-12,<1
2017-03-19,<1
2017-03-26,<1
2017-04-02,<1
2017-04-09,0
2017-04-16,1
2017-04-23,0
2017-04-30,<1
2017-05-07,<1
2017-05-14,<1
2017-05-21,2
2017-05-28,3
2017-06-04,6
2017-06-11,11
2017-06-18,9
2017-06-25,5
2017-07-02,4
2017-07-09,8
2017-07-16,4
2017-07-23,5
2017-07-30,8
2017-08-06,11
2017-08-13,16
2017-08-20,27
2017-08-27,29
2017-09-03,17
2017-09-10,18
2017-09-17,14
2017-09-24,13
2017-10-01,9
2017-10-08,8
2017-10-15,7
2017-10-22,21
2017-10-29,14
2017-11-05,11
2017-11-12,14
2017-11-19,14
2017-11-26,14
2017-12-03,15
2017-12-10,47
2017-12-17,64
2017-12-24,43
2017-12-31,36
2018-01-07,35
2018-01-14,36
2018-01-21,39
2018-01-28,42
2018-02-04,33
2018-02-11,29
2018-02-18,36
2018-02-25,33
2018-03-04,28
2018-03-11,27
2018-03-18,27
2018-03-25,30
2018-04-01,45
2018-04-08,28
2018-04-15,38
2018-04-22,35
2018-04-29,27
2018-05-06,27
2018-05-13,27
2018-05-20,20
2018-05-27,100
2018-06-03,22
2018-06-10,16
2018-06-17,23
2018-06-24,16
2018-07-01,23
2018-07-08,25
2018-07-15,24
2018-07-22,28
2018-07-29,26
2018-08-05,16
2018-08-12,15
2018-08-19,14
2018-08-26,21
2018-09-02,25
2018-09-09,35
2018-09-16,71
2018-09-23,69
2018-09-30,41
2018-10-07,36
2018-10-14,32
2018-10-21,32
2018-10-28,28
2018-11-04,21
2018-11-11,22
2018-11-18,20
2018-11-25,23
2018-12-02,18
2018-12-09,16
2018-12-16,17
2018-12-23,15
2018-12-30,13
2019-01-06,13
2019-01-13,10
2019-01-20,12
2019-01-27,11
2019-02-03,10
2019-02-10,10
2019-02-17,14
2019-02-24,11
2019-03-03,10
2019-03-10,10
2019-03-17,10
2019-03-24,9
2019-03-31,9
2019-04-07,11
2019-04-14,11
2019-04-21,15
2019-04-28,12
2019-05-05,8
2019-05-12,11
2019-05-19,8
2019-05-26,10
2019-06-02,7
2019-06-09,8
2019-06-16,10
2019-06-23,9
2019-06-30,8
2019-07-07,8
2019-07-14,10
2019-07-21,10
2019-07-28,15
2019-08-04,18
2019-08-11,18
2019-08-18,48
2019-08-25,61
2019-09-01,30
2019-09-08,28
2019-09-15,21
2019-09-22,17
2019-09-29,18
2019-10-06,15
2019-10-13,17
2019-10-20,18
2019-10-27,21
2019-11-03,20
2019-11-10,23
2019-11-17,23
2019-11-24,24
2019-12-01,20
